ssid,dgsolv
C(CC2)CCC2c1ccccc1.CCCCCCCCCCCCCCCCCCCCC(OC)=O,-16.7301768
OCCOCCOCCO.ClCC(C)(C)Cl,-4.37537492
CCOC(CCC)=O.FC(F)(F)Br,-1.42823423
CC(=O)c1ccccc1.FC(F)C(F)(C)Cl,-3.48213188
CCCC=O.CCC(=O)c1cc(C)ccc1O,-9.45269694
CCOC(C)(C)C.COC(C(F)F)=O,-3.61502646
OCc1ccccc1.CC(=O)c2n(=O)c1ccccc1n(=O)c2C,-13.20962209
CCCCCCCCN(CCCCCCCC)CCCCCCCC.CC(C)CN(C(C)C)C(C)C,-5.76842242
ClB(Cl)Cl.NCC#N,-4.72103853
CC1OC1.FC(F)(F)OC(F)(F)C,-2.83824513
Cc1ccc(C)cc1.CC=C1CCCCC1,-5.37958615
CN(C)C(C)=O.FCOCC(C)CC,-4.65701149
BrC(Br)C(Br)Br.CC=CBr,-3.92223264
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CCC(C)OC(F)(F)CF,-3.10092471
CC(C)CC(C)(C)C.O=C1CCC1,-3.52788419
OC(C)C.CCC#CCC,-3.57565841
NCCC.CN(C)C1CCCCC1,-5.96727612
C1CCCCC1.CS(c1ccccc1)(=O)=O,-8.17574676
Clc1ccccc1Cl.OS(=O)c1ccccc1,-9.15516023
OCCO.NC1CC1c2ccccc2,-8.20507331
CC(C)CC(C)(C)C.O=N(=O)c1cscc1,-6.32765513
OCCOCCCC.FC(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)C1(F)F,-1.62525277
OCc1ccccc1.CC1(C)C2CC1CC=C2CCOC(C)=O,-9.25218027
CCCCC(CO)CC.C3C1CC1C2CC32,-4.02031568
COCCO.OC(=O)c1[nH]ccc1,-11.72766447
CCNC=O.ClCC=C(F)Cl,-4.38406226
CCCCCl.O=C1CC=CO1,-5.79924582
NCCN.CC(C)CC(C)=C,-1.8175148
OCCN.CN(C)c(nc1C)nc(OC(=O)N(C)C)c1C,-11.12054381
ClCBr.CCOC(C)C(F)(F)F,-4.44159213
COCCO.FC(Cl)C(F)(F)C(F)(F)F,-2.38739164
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C.Clc(ccc2O)cc2C(=O)c1ccccc1,-10.50897149
CCCCCCCCCCCCCC.Nc1ccc(C=C)cc1,-6.70183774
O1CCCCC1.Fc1cc(O)ccc1,-9.6008272
CCCCCCCCCC.COc3cc(OC)c(C1=O)c(OC21C(OC)=CC(CC2C)=O)c3Cl,-15.28436739
OCCN.CCc1ccccc1,-4.19576563
CCCCCCC=C.CCCCCCCCCC,-6.50643094
CN1CCCC1=O.O=c1[nH]c([nH]nc1)=O,-14.45142134
ClC(Cl)=C(Cl)Cl.Oc(cc3Oc1ccccc1)c4c(C(=O)c2ccccc2C4=O)c3N,-18.04508355
CCN(CC)C(C)=O.ClC(Cl)=S,-3.43552633
CCC(C)C.CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-15.94867946
OC(C)=O.Oc1c(cccc1N(=O)=O)N(=O)=O,-11.12034343
CCCCCCCCCCCCCCC.c(ccc2cc3c1ccccc1ccc3n4)cc42,-12.44240063
CC#N.FC(N)C(C)C,-5.27133824
OCC(O)C.ClC(Cl)(Cl)C(=O)N,-10.30927199
CCC(C)c1ccccc1.OCCC(C)(C)OC,-6.24811507
CC(C)C(C)C.Cc1oncc1,-4.33619665
CN(=O)=O.Cc1ccccc1C=C,-5.77989959
NCc1ccccc1.CC(Cl)Cl,-4.14827012
CCCl.CC(C)OC(F)(F)C(F)C(F)(F)F,-4.48169589
CCCCCCOC(C)=O.C=CCN1CCCCC1,-5.88352673
FCCCCCCCC.ClCl,-1.69261457
NCCCC.CC(C)=CCC=C(C)C1CC=C(C)CC1,-9.67090814
OCCCCCO.CC(Cl)C#C,-3.58481717
OCCCCCC.ClCC(CCl)=C,-4.96076487
N#CCCCC#N.N(c2ccccc2)c1ccccc1,-10.35654823
OCCOCC.NC(N)=Nc1ccccc1,-12.85436438
CCOC(C)(C)C.Clc1cccc(Cl)c1C(N)=S,-12.48682013
OCCCCCCCCCCCC.OC(=O)c(cc1N)cc(N)c1,-13.13425938
OCCOCCOCCCC.OC1=C(O)C(=O)C(=O)C1=O,-15.43797997
OCCCCO.OC1=CC=C(C=C1)C1=CC2=C(O1)C=CC(O)=C2,-19.53474122
Nc1ccccc1.COCCC#N,-7.50365332
CCNCC.C=C1CCC1=C,-3.74366896
CCCC(C)=O.CCC(CC)C=O,-5.25874155
BrCCBr.CCC(Br)CC,-5.46320517
CC(C)(C)CC(C)=C.FC(Br)C(F)(F)O,-5.46109787
FC(F)C.Oc2ccccc2c1ccccc1,-10.12202599
CC(C)(C)CC(C)=C.COc1ccccc1OCC=C,-8.37952538
OCCCCCC.CCCCC(OCC=C(C)CCC=C(C)C)=O,-10.9669085
CO.OC1=C(O)C(=O)C(=O)C1=O,-17.33392316
CCCCCCCCC.CCCCCCC1=CCCC1=O,-7.98999563
ClC(=C)C=C.S=C2SC1CCCCC1S2,-11.74053029
O=S1(CCCC1)=O.NC(N)C(C)C,-5.56388494
NCCCN.OC(C)(C)CCCC(CC1C=O)=CCC1,-14.56692986
CCCCCC.COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-25.10878783
OCCN.O=N(=O)C(CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,-21.55183611
Cc1ccccc1N(=O)=O.CC1(C)C(=O)NC(=O)NC1=O,-11.28035965
OCc1occc1.OOCCCCc1ccccc1,-11.59187909
FCCCCCCCC.C1CCCCCCCCCCC1,-8.3352473
CCCCCCCCCCCC.COC(C(F)F)C(F)F,-2.7354471
OCCCCCCCCCCCC.FC(F)(F)C(F)(F)C(C)(C)C(F)(F)F,-2.85484876
CCCCCCC.CCO[PH](OCC)=O,-5.7020168
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C.CC(C)=C,-1.94803043
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CCC(F)O,-1.93027376
CCCCCCC.CN(C)c1ccc(N=Nc2cc(ccc2)N(=O)=O)cc1,-14.42955853
O.COC(=O)C=C,-2.72949482
Brc2c1ccccc1ccc2.CC1=CC(=O)OC2=CC=CC=C12,-10.60028892
CCCCNCCCC.CCOC(C1OC1(C)c2ccccc2)=O,-9.26378563
OCCC.CC(C)CCOC(F)(F)F,-3.70705071
c1ccccc1.FC(O)C(C)C,-4.91208898
OCCOCCOCCO.O=NN1CCCC1,-8.02403216
